day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
27,111,Minimum Depth of Binary Tree,Easy,"['Tree', 'Depth-first Search', 'Breadth-first Search']","['Amazon', 'Facebook', 'Adobe']",10,39.8,50
27,1650,Lowest Common Ancestor of a Binary Tree III,Medium,['Tree'],"['Facebook', 'Microsoft', 'LinkedIn', 'Amazon']",20,76.7,70
27,701,Insert into a Binary Search Tree,Medium,['Tree'],"['Amazon', 'Microsoft', 'Google']",20,75.4,90
27,1110,Delete Nodes And Return Forest,Medium,"['Tree', 'Depth-first Search']","['Google', 'Amazon', 'Facebook']",20,67.9,110
28,102,Binary Tree Level Order Traversal,Medium,"['Tree', 'Breadth-first Search']","['Bloomberg', 'Amazon', 'Facebook', 'Microsoft', 'LinkedIn', 'Adobe', 'Paypal', 'Google', 'Uber']",20,57.0,20
28,116,Populating Next Right Pointers in Each Node,Medium,"['Tree', 'Depth-first Search', 'Breadth-first Search']","['Microsoft', 'Bloomberg', 'Facebook', 'Google', 'Amazon']",20,49.6,40
28,236,Lowest Common Ancestor of a Binary Tree,Medium,['Tree'],"['Facebook', 'Microsoft', 'Amazon', 'Oracle', 'LinkedIn', 'Apple', 'Bloomberg', 'Adobe', 'Google', 'Uber']",20,49.3,60
28,944,Delete Columns to Make Sorted,Easy,['Greedy'],['Google'],10,70.9,70
28,1046,Last Stone Weight,Easy,"['Heap', 'Greedy']",['Amazon'],10,62.4,80
28,134,Gas Station,Medium,['Greedy'],"['Amazon', 'Microsoft', 'Apple', 'Google', 'Bloomberg']",20,41.5,100
28,997,Find the Town Judge,Easy,['Graph'],['Amazon'],10,49.8,110
29,323,Number of Connected Components in an Undirected Graph,Medium,"['Depth-first Search', 'Breadth-first Search', 'Union Find', 'Graph']","['Amazon', 'Facebook', 'LinkedIn', 'Microsoft', 'Apple']",20,58.2,20
29,399,Evaluate Division,Medium,"['Union Find', 'Graph']","['Bloomberg', 'Amazon', 'Uber', 'Google', 'Facebook', 'Microsoft', 'Apple']",20,54.6,40
29,886,Possible Bipartition,Medium,"['Depth-first Search', 'Graph']","['Amazon', 'Google', 'Apple']",20,45.3,60
